unix_timestamp,grid_x,grid_y,real_x_m,real_y_m,heading,heading_deg,front_tof_mm,right_ir_cm,left_ir_cm,action
1790068934.4152977,0,0,0.0,0.0,0,0,1512,151.6,15.6,VISIT
1790068941.37725,0,1,0.0,0.6,0,0,840,14.2,14.5,VISIT
1790068948.209034,0,2,0.0,1.2,0,0,94,82.6,14.9,VISIT
1790068957.1484466,1,2,0.6,1.2,1,90,96,32.4,17.5,VISIT
1790068963.5971382,0,2,0.0,1.2,3,270,170,30.0,30.0,RETRACE
1790068967.7949183,0,2,0.0,1.2,3,270,115,9.4,158.8,VISIT
1790068972.6062317,0,1,0.0,0.6,2,180,998,30.0,30.0,RETRACE
1790068976.8113198,0,1,0.0,0.6,2,180,953,13.9,12.6,VISIT
1790068979.368341,0,0,0.0,0.0,2,180,343,30.0,30.0,RETRACE
1790068983.3609083,0,0,0.0,0.0,2,180,223,14.5,66.9,VISIT
1790068992.6187067,1,0,0.6,0.0,1,90,912,22.6,79.2,VISIT
1790068999.5443425,2,0,1.2,0.0,1,90,183,20.8,140.7,VISIT
1790069008.7585962,2,1,1.2,0.6,0,0,832,26.1,34.8,VISIT
1790069015.8227696,2,2,1.2,1.2,0,0,102,21.0,16.2,GOAL_DISCOVERED
1790069022.1708817,2,1,1.2,0.6,2,180,922,30.0,30.0,RETRACE
1790069026.3719337,2,1,1.2,0.6,2,180,920,111.0,21.0,VISIT
1790069035.9932091,1,1,0.6,0.6,3,270,153,8.8,92.2,VISIT
1790069042.385069,2,1,1.2,0.6,1,90,208,30.0,30.0,RETRACE
1790069046.6440954,2,1,1.2,0.6,1,90,184,91.6,87.5,VISIT
1790069051.4604366,2,0,1.2,0.0,2,180,207,30.0,30.0,RETRACE
1790069055.4469028,2,0,1.2,0.0,2,180,202,66.9,24.3,VISIT
1790069060.264208,1,0,0.6,0.0,3,270,854,30.0,30.0,RETRACE
1790069064.2580426,1,0,0.6,0.0,3,270,833,81.9,19.4,VISIT
1790069066.8249276,0,0,0.0,0.0,3,270,145,30.0,30.0,RETRACE
1790069071.01216,0,0,0.0,0.0,3,270,121,153.3,19.1,VISIT
