unix_timestamp,grid_x,grid_y,real_x_m,real_y_m,heading,heading_deg,front_tof_mm,right_ir_cm,back_ir_cm,left_ir_cm,action
1790157973.1972096,0,0,0.0,0.0,0,0,943,184.2,11.1,18.9,VISIT
1790157981.005271,0,1,0.0,0.6,0,0,223,14.4,84.3,17.9,VISIT
1790157987.390651,0,0,0.0,0.0,2,180,173,30.0,30.0,30.0,RETRACE
1790157992.5986373,0,0,0.0,0.0,2,180,119,17.1,92.2,147.4,VISIT
1790158003.0820065,1,0,0.6,0.0,1,90,820,11.2,89.3,211.9,VISIT
1790158011.0815969,2,0,1.2,0.0,1,90,104,8.6,85.8,111.5,VISIT
1790158021.5190346,2,1,1.2,0.6,0,0,238,83.3,80.5,87.3,VISIT
1790158031.8687227,3,1,1.8,0.6,1,90,145,80.2,161.6,94.3,VISIT
1790158042.4038963,3,0,1.8,0.0,2,180,87,18.6,166.5,15.0,VISIT
1790158048.8012824,3,1,1.8,0.6,0,0,995,30.0,30.0,30.0,RETRACE
1790158054.2842958,3,1,1.8,0.6,0,0,938,14.3,74.7,111.3,VISIT
1790158062.2742069,3,2,1.8,1.2,0,0,234,19.8,146.7,88.1,VISIT
1790158072.5101957,2,2,1.2,1.2,3,270,200,159.1,85.3,6.0,VISIT
1790158082.9513965,2,3,1.2,1.8,0,0,957,85.7,76.2,153.9,VISIT
1790158090.9488845,2,4,1.2,2.4,0,0,288,88.7,174.5,147.4,VISIT
1790158101.1834667,3,4,1.8,2.4,1,90,175,76.4,131.0,31.0,VISIT
1790158111.62918,3,3,1.8,1.8,2,180,36,215.8,96.5,15.7,VISIT
1790158118.047668,3,4,1.8,2.4,0,0,344,30.0,30.0,30.0,RETRACE
1790158123.2951522,3,4,1.8,2.4,0,0,294,17.9,78.1,212.9,VISIT
1790158128.2953792,2,4,1.2,2.4,3,270,1496,30.0,30.0,30.0,RETRACE
1790158133.545742,2,4,1.2,2.4,3,270,1481,32.7,92.7,113.8,VISIT
1790158141.7376,1,4,0.6,2.4,3,270,822,28.6,101.3,12.7,VISIT
1790158149.721215,0,4,0.0,2.4,3,270,107,29.3,220.0,71.8,VISIT
1790158160.1702507,0,3,0.0,1.8,2,180,93,14.7,95.9,217.7,VISIT
1790158170.608288,1,3,0.6,1.8,1,90,1531,205.0,86.9,19.1,VISIT
1790158181.059875,1,2,0.6,1.2,2,180,1421,87.0,96.1,10.3,VISIT
1790158189.2441661,1,1,0.6,0.6,2,180,759,20.9,154.0,147.3,VISIT
1790158195.4519713,1,2,0.6,1.2,0,0,958,30.0,30.0,30.0,RETRACE
1790158200.514583,1,2,0.6,1.2,0,0,881,15.5,151.9,91.7,VISIT
1790158211.1582487,0,2,0.0,1.2,3,270,174,28.1,79.1,8.5,VISIT
