unix_timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1790150939.1291761,-0.01002,0.00627,-1.00246,0.0033,0.00855,0.00051
1790150939.320734,-0.00911,0.00655,-1.00366,0.00587,0.0087,-0.00076
1790150939.525303,-0.01459,0.01107,-1.00101,0.00352,0.00758,0.00394
1790150939.7186978,-0.00797,0.0031,-1.00248,0.0036,0.00455,-0.00061
1790150939.7346628,-0.01471,0.00433,-1.00306,0.0047,0.00833,0.00108
1790150939.91383,-0.00676,0.00636,-1.00119,0.00479,0.00681,-0.00186
1790150940.1341727,-0.01208,0.0088,-1.00112,0.00127,0.00675,-0.00434
1790150940.343367,-0.00784,0.00408,-1.00371,0.00133,0.00761,0.00038
1790150940.5474925,-0.01186,0.00503,-1.00246,0.0007,0.00608,-0.00048
1790150940.7555351,-0.01133,0.005,-1.00292,0.00238,0.00682,-0.0001
1790150940.9331963,-0.00914,0.00518,-1.00231,0.00224,0.00626,-0.00167
1790150941.1640782,-0.01116,0.00406,-1.00251,0.00374,0.00632,0.00172
1790150941.1650891,-0.00955,0.00527,-1.00385,0.00302,0.00779,0.0001
1790150941.3682907,-0.00969,0.00549,-1.00328,0.00086,0.00845,0.00216
1790150941.564179,-0.01038,0.00425,-1.0023,0.00426,0.00677,-0.00053
1790150941.564179,-0.01043,0.00532,-1.00222,0.00083,0.00673,-0.0008
1790150941.7781081,-0.01023,0.00459,-1.00244,0.00432,0.00637,-0.00015
1790150941.9288874,-0.01102,0.00509,-1.00346,0.00381,0.00673,0.00103
1790150941.9421232,-0.00851,0.00636,-1.00197,0.00309,0.00625,0.00144
1790150942.1861184,-0.00999,0.0065,-1.00211,0.00409,0.00553,0.00026
1790150942.1861184,-0.00751,0.00642,-1.00476,0.00335,0.00347,-0.00354
1790150942.3933291,-0.01155,0.00439,-1.00358,0.00362,0.0038,-0.00132
1790150942.3933291,-0.0107,0.00522,-1.00237,0.00306,0.00871,0.00064
1790150942.5845647,-0.01104,0.00464,-1.00284,0.00283,0.00302,-0.00109
1790150942.8004916,-0.0098,0.00449,-1.00232,0.00407,0.00705,0.00145
1790150942.9249363,-0.0103,0.00712,-1.00433,0.00045,0.00499,-0.01417
1790150942.9408906,-0.01187,-0.00232,-1.00316,0.00368,0.00568,0.00328
1790150943.2094772,-0.0131,0.00318,-1.00172,0.003,0.00619,0.00424
1790150943.2202635,-0.01019,0.00585,-1.00262,0.00133,0.00863,-0.00102
1790150943.4165618,-0.00966,0.00552,-1.00189,0.00065,0.00686,-0.00232
1790150943.4165618,-0.01148,0.00594,-1.00226,0.00025,0.00718,-0.00161
1790150943.6191137,-0.00807,0.00492,-1.00402,0.00333,0.00701,0.00146
1790150943.8242905,-0.0113,0.00393,-1.00242,0.00457,0.00597,1e-05
1790150943.8253002,-0.01051,0.00531,-1.00236,0.00035,0.00505,0.00228
1790150943.9415715,-0.01041,0.00501,-1.0006,0.00322,0.00418,-0.0009
1790150944.0259619,-0.00989,0.00438,-1.00179,0.00343,0.00804,-0.00183
1790150944.0689862,-0.00979,0.00522,-1.00163,0.00476,0.00603,0.00048
1790150944.2346385,-0.00932,0.00365,-1.0027,0.00478,0.00496,-0.00116
1790150944.438181,-0.00999,0.00579,-1.0048,0.00196,0.00734,-0.00186
1790150944.4401908,-0.00792,0.00492,-1.00255,0.00546,0.0059,0.00884
1790150944.643771,-0.01071,0.01213,-1.0014,0.00075,0.01056,-0.0072
1790150944.6503332,-0.0086,0.00526,-1.00414,0.00321,0.0054,-0.0056
1790150944.6713846,-0.01223,0.00355,-1.00164,0.00381,0.00822,0.00262
1790150944.852065,-0.01144,0.00658,-1.00265,0.00447,0.00648,-0.00196
1790150944.9431036,-0.0071,0.00675,-1.00197,0.00577,0.00782,-0.00274
1790150945.0257125,-0.01248,0.00334,-1.00256,0.00491,0.00911,0.02182
1790150945.2595613,-0.00353,0.01897,-1.00165,-0.00156,0.0118,-0.00407
1790150945.265229,-0.01013,0.00642,-1.00456,0.00174,0.00373,0.00309
1790150945.4626107,-0.00989,0.00758,-1.00093,0.00261,0.00714,-0.00207
1790150945.6537275,-0.00858,0.00685,-1.00338,0.0051,0.00745,-0.003
1790150945.669039,-0.01073,0.00525,-1.00197,0.00603,0.00712,0.00083
1790150945.8480499,-0.02123,0.01176,-1.00194,0.00493,0.00415,-0.00475
1790150945.8480499,-0.00402,0.0211,-1.0015,0.00296,0.01017,-0.02191
1790150945.9454615,-0.00687,0.00671,-1.00316,0.00521,0.0072,-0.00106
1790150946.075525,0.00051,0.00838,-1.00432,-0.002,0.00826,-0.00573
1790150946.0912652,-0.01644,0.00939,-1.00216,0.00602,0.00879,0.00859
1790150946.2707145,-0.00597,0.00707,-1.00084,0.00116,0.0073,-0.00217
1790150946.2865756,-0.00821,0.00513,-1.00236,0.00121,0.00891,-0.00142
1790150946.4916608,-0.01285,0.00519,-1.00154,0.00367,0.00484,0.00054
1790150946.6922898,-0.01061,0.00495,-1.00315,0.00468,0.00539,-0.0007
1790150946.6922898,-0.0092,0.00627,-1.00425,0.00582,0.00632,0.00012
1790150946.888496,-0.00951,0.00563,-1.00175,0.00455,0.00787,0.00185
1790150946.888496,-0.00543,0.00504,-1.00355,0.0052,0.00636,0.00128
1790150946.9103684,-0.01361,0.00454,-1.0029,0.00461,0.00402,-0.00072
1790150947.1008224,-0.00926,0.00414,-1.00435,0.00319,0.00881,0.00056
1790150947.1110723,-0.01046,0.00537,-1.00126,0.00159,0.0061,0.00144
1790150947.2992876,-0.01105,0.00366,-1.00299,0.00289,0.00588,0.00139
1790150947.5047164,-0.00957,0.00714,-1.00234,0.00205,0.00383,0.00154
1790150947.5047164,-0.01028,0.00382,-1.0035,0.00404,0.00854,-0.00061
1790150947.6943693,-0.01377,0.01575,-1.00451,0.0064,0.00338,-0.00131
1790150947.6943693,-0.00646,0.01331,-1.00298,0.00492,0.00854,0.00494
1790150947.9202,-0.01201,-0.00225,-1.00315,0.00467,0.00537,0.01962
1790150947.9223719,-0.00408,0.01113,-1.00436,-0.00544,0.01293,-0.02052
1790150947.9275665,-0.00753,0.01552,-1.00382,0.00188,0.00336,-0.00854
1790150948.1249483,-0.01236,0.0057,-1.00346,0.00237,0.00506,-0.00554
1790150948.1249483,-0.01018,0.00031,-1.00344,0.00398,0.01037,0.0034
1790150948.2353377,-0.01139,0.00256,-1.00172,0.0037,0.00553,8e-05
1790150948.3213375,-0.0186,0.00425,-1.0031,0.00519,0.00583,0.00021
1790150948.5270424,-0.00944,0.00914,-1.00319,0.00154,0.00627,-0.01473
1790150948.5270424,-0.01575,0.00078,-1.00341,0.00379,0.00593,0.00155
1790150948.6731787,-0.00849,-0.00119,-1.00487,0.00467,0.00441,0.00496
1790150948.7475207,-0.00998,0.02384,-1.00191,-0.00226,0.00378,-0.04393
1790150948.8631978,-0.00954,0.01301,-1.00314,0.00229,0.00475,-0.00926
1790150948.9758246,0.03824,-0.00328,-1.00285,0.00204,0.01723,0.01279
1790150949.1047866,0.22219,0.02534,-1.01563,0.02752,0.00691,0.02393
1790150949.1903245,0.11841,-0.0038,-1.00878,-0.02452,-0.04913,-0.00582
1790150949.2828417,-0.04213,0.0303,-0.99728,0.0302,-0.05497,-0.02269
1790150949.3516214,-0.14313,-0.00582,-1.00365,-0.00392,-0.00659,0.03457
1790150949.5050552,-0.01772,-0.00349,-0.99866,-0.02308,0.00956,0.00179
1790150949.5674045,0.06328,0.01198,-1.00978,-0.00783,0.00378,-0.00204
1790150949.670884,0.04027,0.00381,-1.00391,-0.00904,-0.00053,0.01112
1790150949.7680707,-0.05135,-0.02497,-0.9754,-0.0057,0.03755,0.00818
1790150949.851438,-0.06795,0.01596,-0.99049,0.00634,0.0472,-0.02559
1790150949.9694035,-0.02368,0.0021,-1.01068,0.01063,0.01802,0.0138
1790150950.0872781,0.02433,0.01662,-1.01647,0.02795,0.03152,0.00233
1790150950.1937244,0.00312,0.02216,-0.99458,-0.0001,0.01924,-0.00706
1790150950.2901886,-0.06027,-0.03946,-1.0306,-0.02354,0.00642,0.05318
1790150950.3873384,-0.03901,-0.0081,-0.9884,0.02904,0.05026,-0.01619
1790150950.4690018,0.00317,0.02515,-0.99573,0.03029,0.03962,-0.03661
1790150950.580559,-0.0005,0.01753,-0.99095,-0.01281,-0.02259,-0.00633
1790150950.6615448,0.00632,-0.01116,-1.00426,-0.01447,-0.0002,0.02285
1790150950.8071651,-0.03189,-0.01392,-0.99285,-0.02534,-0.00437,0.02173
1790150950.9682674,-0.03024,-0.0343,-1.02278,-0.05176,-0.02969,0.04432
1790150950.9895754,0.00587,0.00917,-1.01513,-0.02814,-0.02542,0.00348
1790150951.19854,-0.11198,0.02113,-1.00758,0.00343,0.00157,-0.05643
1790150951.4048548,-0.02097,0.00387,-1.00179,4e-05,0.00512,0.00553
1790150951.6003146,-0.01017,0.0096,-1.0013,0.00335,0.00801,0.00021
1790150951.6003146,-0.00831,0.00702,-1.00181,0.00184,0.00651,-0.00023
1790150951.8154368,-0.00864,0.00758,-1.00153,-0.00013,0.00825,-0.00201
1790150951.8315656,-0.00923,0.00749,-1.00296,0.00346,0.00935,-0.00101
1790150951.9210815,-0.01076,0.00446,-1.00382,0.00346,0.00852,0.00301
1790150951.9775531,-0.0104,0.00762,-1.00222,0.00299,0.00665,0.0008
1790150952.156449,-0.01018,0.00839,-1.00228,0.00301,0.00607,-0.00101
1790150952.2188137,-0.00926,0.00486,-1.00148,0.00559,0.00611,0.00327
1790150952.426931,-0.01802,-0.00039,-1.00284,0.00297,0.00542,0.00136
1790150952.6351688,-0.00874,0.00695,-1.00182,0.00227,0.00559,-0.00016
1790150952.836915,-0.00868,0.00688,-1.00217,0.0027,0.00598,-0.00211
